2017-10-17 01:50:07,186 - INFO - args: (<__main__.Client object at 0x00000000028C2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58549), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:52:37,840 - INFO - args: (<__main__.Client object at 0x00000000029134A8>,) = <socket.socket fd=284, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58556), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:27:32,815 - INFO - args: (<__main__.Client object at 0x00000000028C26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58564), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:27:32,815 - INFO - args: (<__main__.Client object at 0x00000000021926D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58565), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:29,879 - INFO - args: (<__main__.Client object at 0x00000000028F26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58566), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:29,957 - INFO - args: (<__main__.Client object at 0x00000000022026D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58567), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,035 - INFO - args: (<__main__.Client object at 0x00000000022126D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58568), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,160 - INFO - args: (<__main__.Client object at 0x00000000022226D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58569), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,254 - INFO - args: (<__main__.Client object at 0x00000000028F26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58570), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,332 - INFO - args: (<__main__.Client object at 0x00000000006B26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58571), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,363 - INFO - args: (<__main__.Client object at 0x00000000028D26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58572), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,753 - INFO - args: (<__main__.Client object at 0x0000000002B06860>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58573), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,753 - INFO - args: (<__main__.Client object at 0x00000000028C26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58574), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,753 - INFO - args: (<__main__.Client object at 0x00000000028A26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58575), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,753 - INFO - args: (<__main__.Client object at 0x00000000028C26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58576), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,753 - INFO - args: (<__main__.Client object at 0x00000000021526D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58577), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,768 - INFO - args: (<__main__.Client object at 0x00000000029026D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58578), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 02:28:30,768 - INFO - args: (<__main__.Client object at 0x00000000022E26D8>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58580), raddr=('127.0.0.1', 7777)> - _connect - __main__
